New_Name,Source,X_SECT_ID,Notes
L01-080,Wildermuth,Gober_11_87,
L01-100,Wildermuth,Bell_1_79,
L01-060,Wildermuth,Gober_1_27,
L02-041,Wildermuth,Trabuco_17_1,
L02-031,Wildermuth,Trabuco_13_5,
L02-021,Wildermuth,Trabuco_2_38,
L02-010,Wildermuth,Trabuco_1_35,
L02-051,Wildermuth,Tijeras_4_45,
L02-040,Wildermuth,Trabuco_14_18,
L02-023,Wildermuth,Trabuco_4_11,
L02-022,Wildermuth,Trabuco_4_25,
L02-020,Wildermuth,Trabuco_2_69,
L02-030,Wildermuth,Trabuco_13_72,
L02-050,Wildermuth,Tijeras_1_2,
I01-020,LSPC,Laguna_6_15,
I01-012,LSPC,Laguna_1_11,
J01-100,LSPC,Aliso_11_9,
J04-010,LSPC,Sulphur_3_9,
J01-010,LSPC,Aliso_1_66,
J01-050,LSPC,Sulphur_5_32,
J01-061,LSPC,Aliso_6_11,
J01-091,LSPC,Aliso_8_6,
J01-080,LSPC,Aliso_7_9,
J05-010,LSPC,Aliso_4_18,
J01-030,LSPC,Wood_1_21,
J01-020,LSPC,Aliso_1_42,
J03-010,LSPC,Sulphur_5_4,
J07-010,LSPC,English_1_24,
K01-010,LSPC,Salt_Crk_1_15,
K01-020,LSPC,Salt_Crk_2_30,
K01-030,LSPC,Salt_Crk_2_10,
L03-010,LSPC,Oso_1_63,
L04-010,LSPC,Oso_3_41,
L05-020,LSPC,Horno_3_13,
L05-010,LSPC,Horno_1_36,
M01-020,LSPC,Prima_S_2_5,
M01-010,LSPC,NA,"No good rep XS, underground, multiple channels to one"
M02-020,LSPC,Segunda_N_1_18,
M02-011,LSPC,Segunda_S_14_3,
L03-020,LSPC,Oso_2_1,
L03-030,LSPC,Oso_11_13,
J01-041,LSPC,Aliso_3_29,
M01-011,LSPC,Channel_5_1_6,
M02-030,LSPC,Channel_4_1_2,
J01-070,LSPC,Aliso_7_14,
L03-011,LSPC,Oso_1_9,
J01-031,LSPC,Wood_11_1,
J01-060,LSPC,Aliso_5_14,
I01-010,LSPC,Laguna_1_68,
I01-011,LSPC,Laguna_1_47,
J01-040,LSPC,Aliso_3_50,
J01-062,LSPC,Aliso_7_32,
J01-090,LSPC,Aliso_8_33,
K01-011,LSPC,Salado_1_13,
M02-010,LSPC,Segunda_S_1_26,
